EvalSubset	100100000111111111111111111	H1,H2AK121ub,H2Bub,H3,H3K14Ac,H3K27me1,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9Ac,H3K9me1,H3K9me2,H4K20me1,HTB1,HTB2,HTB3,HTB4,HTR13,HTR5
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.8495	0.131	0.0102	0	0.0007	0.0021	0.0002	0	0	0	0	0	0	0.0001	0	0	0	0.0017	0.0006	0.0012	0.0014	0	0	0	0	0.0011
E2	0.2886	0.682	0.0199	0	0.0014	0.0019	0.0006	0	0.0001	0	0	0	0	0.0001	0	0.0001	0	0.0002	0.0015	0.0021	0.0003	0	0.0001	0	0	0.0012
E3	0.0007	0.0137	0.9787	0.0022	0	0.0008	0.0002	0	0.0002	0	0	0	0	0.0003	0	0	0	0	0	0	0	0	0	0	0	0.0032
E4	0	0.0004	0.0068	0.8032	0.0141	0.0086	0.0038	0	0.0009	0	0	0.0007	0.0008	0.0332	0.1067	0.0046	0	0	0	0	0	0	0.0002	0.0001	0	0.0158
E5	0.0012	0.0045	0.0007	0.0214	0.6807	0.0103	0.0065	0.0001	0.0001	0.0001	0.0007	0	0.0003	0.0064	0.0123	0.2043	0.002	0.0174	0.0062	0.0008	0.014	0.0019	0.0009	0	0	0.0071
E6	0.0047	0.0072	0.0009	0.0052	0.0057	0.4751	0.0071	0	0	0	0	0	0.0001	0.0613	0	0.001	0.0012	0.1157	0.0394	0.2709	0.002	0	0	0	0	0.0024
E7	0	0.0015	0.0016	0.0029	0.0043	0.006	0.7803	0.0676	0.1027	0.0053	0.0005	0.0004	0.0006	0.0044	0.0039	0.0066	0.0026	0.0054	0.0001	0.0033	0	0	0	0	0	0
E8	0	0	0	0	0	0	0.0333	0.8346	0.0302	0.0935	0.0027	0	0.0002	0	0	0.0002	0.0041	0.0009	0.0002	0	0	0	0	0	0	0
E9	0	0.0009	0.0089	0.007	0.0003	0.0024	0.1982	0.2218	0.398	0.1163	0.0031	0.0208	0.0066	0.0026	0.0081	0.0021	0.0025	0	0.0001	0.0001	0	0	0	0	0	0
E10	0	0.0001	0	0	0	0	0.004	0.1895	0.0904	0.6713	0.0149	0.0126	0.0045	0	0.0001	0.0002	0.0123	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0.0082	0.9245	0.0328	0.0051	0	0.0003	0.009	0.02	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0.0046	0.0161	0.0256	0.9296	0.0205	0	0.0036	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0.0014	0	0.0024	0.0071	0.0064	0.0289	0.8791	0.0133	0.0033	0.0005	0.0575	0	0	0	0	0	0	0	0	0
E14	0.001	0.003	0.0109	0.0175	0.0011	0.0628	0.016	0.0001	0.0006	0	0	0.0001	0.0265	0.7703	0.0159	0.0159	0.0143	0.0359	0.0023	0.004	0.0004	0	0	0	0	0.0017
E15	0	0.001	0.0094	0.0911	0.0066	0	0.0075	0.0001	0.0027	0.0001	0.001	0.0082	0.0052	0.0274	0.7232	0.1083	0.0005	0	0	0	0	0	0	0.0008	0	0.0069
E16	0.0005	0.0079	0.0012	0.0269	0.2006	0.0038	0.0132	0.0007	0.0005	0.0002	0.0096	0.0002	0.0008	0.0217	0.069	0.6205	0.0061	0.0077	0.003	0.0001	0.0026	0.0003	0.0001	0	0	0.003
E17	0.0001	0.0007	0	0	0.0005	0.002	0.0082	0.0133	0.0017	0.0319	0.0623	0.0005	0.1108	0.0236	0.0004	0.0134	0.6632	0.049	0.0148	0.0035	0	0	0	0	0	0
E18	0.0031	0	0	0	0.003	0.0043	0.0029	0.0022	0	0	0	0	0	0.0164	0	0.0015	0.0028	0.9432	0.0043	0.0012	0.0148	0	0	0	0	0.0004
E19	0.0041	0.0029	0	0	0.0099	0.0144	0.0004	0.0002	0	0	0	0	0	0.001	0	0.0032	0.0065	0.022	0.9117	0.0099	0.0136	0	0.0001	0	0	0.0001
E20	0.0024	0.0023	0	0	0.0067	0.0971	0.017	0.0001	0	0	0	0	0	0.0025	0	0	0.0006	0.0084	0.0051	0.8578	0	0	0	0	0	0
E21	0.0237	0.0004	0	0	0.0077	0.001	0	0	0	0	0	0	0	0.0036	0	0.0023	0	0.0975	0.0124	0.0001	0.7695	0.0709	0.0004	0	0.0006	0.01
E22	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466	0.9272	0.0025	0.011	0.0074	0.0049
E23	0	0.0005	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0.0078	0.9716	0.0099	0.0018	0.0068
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0093	0.0016	0.9824	0.0024	0.0043
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.0068	0.0009	0.005	0.9803	0.0068
E26	0.0254	0.0103	0.0479	0.0132	0.0053	0.0064	0	0	0	0	0	0	0	0.0235	0.0026	0.0008	0	0.0032	0.0006	0	0.0338	0.011	0.002	0.0299	0.021	0.7628
