EvalSubset	111111111111111111111000011	H1,H2A13,H2A2,H2AK121ub,H2AW6,H2AW7,H2AX,H2AZ11,H2AZ9,H2Bub,H3,H3K14Ac,H3K27me1,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9Ac,H3K9me1,H3K9me2,H4K20me1,HTR13,HTR5
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.991	0.0039	0	0	0	0.0001	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0.0008	0.002	0.0014	0.0002	0	0	0	0	0.0004
E2	0.0094	0.9751	0.0122	0	0.0008	0.0016	0.0002	0	0	0	0	0	0	0	0	0	0	0	0.0001	0.0003	0	0	0	0	0	0.0001
E3	0.0002	0.0148	0.9837	0.0005	0.0001	0.0004	0.0001	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001
E4	0	0	0.0021	0.9813	0.0107	0.0035	0.0008	0	0.0003	0	0	0	0	0.0003	0.0003	0.0006	0	0	0	0	0	0	0	0	0	0.0001
E5	0.0001	0.0019	0.0001	0.0083	0.9754	0.005	0.0029	0	0	0	0	0	0	0.0001	0	0.0015	0	0.0003	0.0035	0.0004	0.0002	0	0	0	0	0.0002
E6	0.0001	0.0046	0.0007	0.0015	0.004	0.9761	0.0032	0	0.0001	0	0	0	0	0.0008	0	0	0	0.0008	0.0046	0.0036	0.0001	0	0	0	0	0
E7	0	0.0005	0.0002	0.0008	0.0022	0.0064	0.9562	0.0329	0.0004	0	0	0	0	0	0	0.0002	0.0001	0	0	0.0001	0	0	0	0	0	0
E8	0	0	0	0	0	0	0.0223	0.969	0.006	0.0008	0	0	0	0	0	0.0004	0.0009	0.0004	0	0.0002	0	0	0	0	0	0
E9	0	0.0001	0.0001	0.001	0	0	0.0016	0.0127	0.9722	0.0104	0	0	0	0.0007	0.0011	0	0	0	0	0	0	0	0	0	0	0
E10	0	0	0	0	0	0	0	0.0011	0.0055	0.9718	0.0061	0.0093	0.0042	0.0001	0.0008	0.0001	0.001	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0.0037	0.975	0.0114	0.0065	0	0.0014	0.0008	0.0012	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0	0.0108	0.0135	0.9719	0.003	0	0.0007	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0	0	0	0.0047	0.0073	0.0032	0.9778	0.0012	0.0009	0	0.0049	0	0	0	0	0	0	0	0	0
E14	0.0002	0.0001	0.0002	0.0002	0.0001	0.0019	0	0	0.0005	0.0001	0	0	0.0023	0.9689	0.0024	0.0053	0.0111	0.0022	0.0025	0.0022	0.0001	0	0	0	0	0
E15	0	0	0	0.0006	0	0	0	0	0.0004	0.0007	0.0014	0.0006	0.001	0.0027	0.9841	0.008	0.0001	0	0	0	0	0	0.0003	0	0	0.0002
E16	0.0004	0.0002	0	0.0005	0.0012	0.0005	0.0001	0.0005	0.0002	0.0002	0.0011	0	0	0.0042	0.0084	0.9621	0.004	0.003	0.0126	0.0002	0.0007	0	0	0	0	0.0001
E17	0	0	0	0	0	0	0.0002	0.0031	0.0001	0.0019	0.0036	0	0.0135	0.012	0.0003	0.0034	0.9478	0.0093	0.0045	0.0004	0	0	0	0	0	0
E18	0.0035	0	0	0	0	0.0005	0	0.0004	0	0	0	0	0	0.0002	0	0.0005	0.0009	0.9689	0.0182	0.0017	0.0052	0	0	0	0	0
E19	0.0223	0.0016	0	0	0.0062	0.0151	0	0.0002	0	0	0	0	0	0.0027	0	0.015	0.0075	0.6383	0.1383	0.138	0.0142	0	0	0	0	0.0006
E20	0.0021	0.0002	0	0	0.0003	0.0021	0.0002	0.0005	0	0	0	0	0	0.0003	0	0.0001	0.0002	0.0046	0.0135	0.9758	0	0	0	0	0	0
E21	0.002	0	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0.0006	0	0.0177	0.0055	0	0.9606	0.0047	0	0	0	0.0088
E22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0.947	0.0096	0.0231	0.0121	0.0037
E23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.0446	0.6435	0.2032	0.0879	0.0206
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0194	0.9658	0.0041	0.0006
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0.0026	0.0079	0.9784	0.0006
E26	0.0016	0.0002	0.0002	0.0002	0.0003	0.0001	0	0	0	0	0	0	0	0.0003	0.0001	0.0003	0	0.0001	0.0001	0	0.0102	0.0047	0.0083	0.0009	0.0011	0.9714
