EvalSubset	111111111111111111111111100	H1,H2A13,H2A2,H2AK121ub,H2AW6,H2AW7,H2AX,H2AZ11,H2AZ9,H2Bub,H3,H3K14Ac,H3K27me1,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9Ac,H3K9me1,H3K9me2,H4K20me1,HTB1,HTB2,HTB3,HTB4
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.9826	0.0103	0	0	0	0.0002	0	0	0	0	0	0	0	0.0001	0	0.0002	0	0.001	0.0005	0.0007	0.0006	0	0	0	0	0.0037
E2	0.0152	0.8048	0.1756	0	0.0002	0.0035	0.0004	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.0002
E3	0.0031	0.1958	0.7912	0.0014	0.0008	0.0037	0.002	0	0.0012	0	0	0	0	0.0005	0	0.0002	0	0	0	0	0	0	0	0	0	0
E4	0	0.0001	0.0068	0.7882	0.1411	0.0311	0.0167	0	0.0029	0	0	0	0	0.002	0.0017	0.0092	0	0	0	0	0	0	0	0	0	0.0001
E5	0.0001	0.0026	0.009	0.1381	0.7951	0.038	0.0099	0.0001	0	0	0	0	0	0.0005	0	0.004	0	0.0002	0.0002	0.0003	0.0001	0	0	0	0	0.0018
E6	0.0007	0.02	0.0041	0.009	0.0267	0.9018	0.0083	0	0.0001	0	0	0	0	0.0012	0	0.0002	0	0.0068	0.0017	0.0194	0.0001	0	0	0	0	0.0001
E7	0	0.0006	0.0058	0.0061	0.0035	0.0069	0.9078	0.0672	0.0017	0	0	0	0	0.0001	0	0.0003	0	0	0	0.0001	0	0	0	0	0	0
E8	0	0	0	0	0	0.0003	0.0625	0.9138	0.0152	0.0051	0	0	0	0.0003	0	0.0003	0.0018	0.0004	0	0.0003	0	0	0	0	0	0
E9	0	0	0.0017	0.0019	0	0	0.0063	0.0277	0.939	0.0183	0	0.0001	0	0.0021	0.0027	0	0	0	0	0	0	0	0	0	0	0
E10	0	0	0	0	0	0	0	0.0023	0.0082	0.9283	0.0095	0.0361	0.0123	0.0002	0.0018	0.0001	0.0012	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0.012	0.7051	0.2106	0.0556	0	0.0104	0.001	0.0053	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0.0001	0.0551	0.1469	0.7684	0.0281	0	0.0014	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0	0	0.0001	0.0165	0.0813	0.0399	0.8275	0.0031	0.0095	0.0001	0.0219	0	0	0	0	0	0	0	0	0
E14	0.0016	0.0003	0.0004	0.0046	0.0011	0.0054	0.0011	0.0004	0.0033	0.0004	0	0	0.0054	0.7658	0.0339	0.0621	0.0399	0.0575	0.0048	0.0114	0.0005	0	0	0	0	0.0003
E15	0	0	0.0001	0.0013	0	0	0	0.0001	0.0045	0.0021	0.0058	0.0037	0.0137	0.0252	0.8952	0.0475	0.0005	0	0	0	0	0	0.0001	0	0	0.0003
E16	0.0006	0.0004	0.0002	0.0041	0.0025	0	0.0002	0.0005	0.0005	0.0002	0.0009	0	0.0002	0.0386	0.0812	0.8575	0.0051	0.0041	0.0012	0.0005	0.0002	0	0	0	0	0.0012
E17	0.0001	0	0	0	0.0001	0	0	0.0025	0.0001	0.0039	0.0136	0	0.0841	0.0723	0.0017	0.0101	0.7974	0.0079	0.0061	0.0002	0	0	0	0	0	0
E18	0.0009	0	0	0	0.0001	0.0016	0	0	0	0	0	0	0	0.0015	0	0.0014	0.0009	0.9896	0.001	0.0004	0.0025	0	0	0	0	0
E19	0.0019	0.0002	0	0	0.0007	0.0065	0	0.0002	0	0	0	0	0	0.0024	0	0.0038	0.0029	0.0091	0.9628	0.0061	0.0031	0	0	0	0	0.0003
E20	0.0031	0.0002	0	0	0.0002	0.017	0.0002	0.0001	0	0	0	0	0	0.0021	0	0.0006	0.0002	0.0026	0.0016	0.9721	0.0001	0	0	0	0	0
E21	0.0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0.0139	0.0022	0.0001	0.8997	0.006	0	0	0	0.0718
E22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0.7904	0.0046	0.0911	0.0868	0.0235
E23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0.9176	0.0545	0.0023	0.0089
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158	0.0023	0.9665	0.0134	0.0021
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0776	0.0019	0.0233	0.8964	0.0006
E26	0.0435	0.0003	0.0005	0	0.0002	0.0003	0	0	0	0	0	0	0	0.0001	0	0.0028	0	0.0075	0.0008	0.0002	0.1459	0.059	0.0031	0.0184	0.0079	0.7095
