EvalSubset	111111111110000000001111111	H1,H2A13,H2A2,H2AK121ub,H2AW6,H2AW7,H2AX,H2AZ11,H2AZ9,H2Bub,H3,H4K20me1,HTB1,HTB2,HTB3,HTB4,HTR13,HTR5
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.4555	0.0441	0.0005	0	0.0129	0.0016	0	0.0006	0	0	0	0	0	0.0017	0	0.0082	0.0002	0.2104	0.0528	0.1779	0.029	0	0	0	0	0.0048
E2	0.0374	0.6205	0.0267	0.0013	0.1351	0.1035	0.0274	0.0013	0.0004	0	0	0	0	0.0008	0	0.003	0	0.0007	0.0071	0.0341	0.0002	0	0	0	0	0.0005
E3	0.0006	0.0108	0.8219	0.1032	0.019	0.0185	0.0098	0.0001	0.0092	0	0	0	0	0.0033	0.0008	0.0005	0	0	0	0	0	0	0	0	0	0.0026
E4	0	0.0015	0.1858	0.7313	0.0181	0.0188	0.0158	0.0001	0.0162	0	0	0	0	0.0029	0.0045	0.0019	0	0	0	0	0	0	0	0	0	0.0033
E5	0.0159	0.1002	0.0039	0.0142	0.7009	0.074	0.0498	0.0047	0.0012	0	0	0	0	0.0001	0	0.0068	0	0.0096	0.0048	0.0135	0.0004	0	0	0	0	0.0001
E6	0.0043	0.1898	0.0725	0.0159	0.0726	0.5147	0.0952	0.0104	0.0032	0	0	0	0	0.0015	0	0.0012	0	0.0054	0.0004	0.0122	0.0001	0	0	0	0	0.0007
E7	0.0002	0.0329	0.0417	0.0211	0.0726	0.189	0.591	0.0344	0.0022	0	0	0	0	0.0011	0	0.002	0.0001	0.004	0.0001	0.0077	0	0	0	0	0	0
E8	0.0003	0.001	0	0	0.0101	0.0038	0.0546	0.7917	0.0063	0.0024	0.0005	0	0	0.0005	0	0.0025	0.0782	0.0334	0.0039	0.0109	0	0	0	0	0	0
E9	0	0.0003	0.0106	0.0162	0.0009	0.0011	0.0069	0.0123	0.8909	0.0232	0	0.001	0.001	0.0269	0.0039	0.0031	0.0012	0	0	0.0005	0	0	0	0	0	0
E10	0	0	0	0	0	0	0	0.006	0.0087	0.5816	0.1854	0.0644	0.104	0.0038	0.001	0.0011	0.0439	0	0.0001	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0.0013	0	0.0559	0.8121	0.0082	0.0376	0.0006	0.0045	0.0045	0.0752	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0.0007	0.012	0.0052	0.7773	0.1999	0.0002	0.0048	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0	0	0.0002	0.0191	0.034	0.1361	0.787	0.0117	0.0046	0	0.0074	0	0	0	0	0	0	0	0	0
E14	0.0008	0.0001	0.002	0.0072	0	0.0034	0.0025	0.0015	0.0346	0.0068	0.0003	0.0012	0.0157	0.7099	0.1272	0.0357	0.0125	0.0285	0.0004	0.0078	0.0002	0	0	0	0	0.0017
E15	0	0	0	0.0054	0	0	0	0	0.007	0.0016	0.0045	0.0271	0.0097	0.0827	0.8301	0.0298	0.0013	0	0	0	0	0	0	0	0	0.0008
E16	0.0177	0.0005	0	0.002	0.0075	0.0023	0.0002	0.0041	0.0014	0.0008	0.0038	0	0	0.0227	0.0127	0.6861	0.0256	0.1674	0.0231	0.0142	0.0059	0	0	0	0	0.0022
E17	0.0001	0	0	0	0	0	0.0001	0.0333	0.0005	0.0227	0.134	0	0.019	0.0114	0.0019	0.033	0.6874	0.047	0.0073	0.0023	0	0	0	0	0	0
E18	0.0565	0.0004	0	0	0.0042	0.0008	0	0.0015	0	0	0	0	0	0.0012	0	0.0141	0.0027	0.8864	0.0059	0.0027	0.0228	0	0	0	0	0.0008
E19	0.0999	0.0106	0	0	0.0067	0.001	0	0.0022	0	0	0	0	0	0.0001	0	0.0195	0.0096	0.0805	0.7415	0.0115	0.0169	0	0	0	0	0
E20	0.0944	0.033	0	0	0.0012	0.0069	0.0005	0.0038	0	0	0	0	0	0.002	0	0.0003	0.0001	0.0068	0.0045	0.8462	0	0	0	0	0	0
E21	0.0085	0	0	0	0.002	0	0	0	0	0	0	0	0	0.0003	0	0.0097	0.0001	0.073	0.0133	0.0001	0.8043	0.0525	0.0008	0	0.0002	0.0352
E22	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0.0002	0	0.0758	0.8468	0.0104	0.0429	0.0121	0.0114
E23	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0.115	0.8211	0.0464	0.0039	0.0112
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0332	0.0041	0.846	0.1002	0.0165
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171	0.0043	0.4329	0.5103	0.0355
E26	0.0026	0.0002	0.0013	0.0031	0.001	0.0003	0	0	0	0	0	0	0	0.0006	0.0051	0.0021	0	0.0003	0.0007	0	0.043	0.0327	0.0067	0.0331	0.0446	0.8228
