EvalSubset	100100000111111111111000000	H1,H2AK121ub,H2Bub,H3,H3K14Ac,H3K27me1,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9Ac,H3K9me1,H3K9me2,H4K20me1
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.8551	0.1204	0.0147	0	0.0006	0.0013	0.0002	0	0	0	0	0	0	0.0002	0	0.0001	0	0.0015	0.0015	0.0015	0.001	0	0	0	0	0.0018
E2	0.3355	0.4138	0.2431	0.0004	0.0005	0.0018	0.0004	0	0	0	0	0	0	0.0001	0	0.0001	0	0.0001	0.0001	0.0019	0.0001	0	0	0	0	0.002
E3	0.0744	0.1955	0.7193	0.0025	0.0004	0.0026	0.0023	0	0.0003	0	0	0	0	0.0002	0	0	0	0	0	0.0005	0	0	0	0	0	0.002
E4	0	0.0006	0.0108	0.6482	0.112	0.039	0.0167	0	0.0011	0	0	0.0007	0.0016	0.0195	0.0967	0.0358	0.0001	0.0002	0.0002	0.0003	0.0007	0.0001	0.0009	0	0	0.0148
E5	0.0014	0.0024	0.0091	0.1594	0.4656	0.03	0.0099	0	0	0.0001	0.0005	0.0001	0.0014	0.0326	0.0714	0.1679	0.0006	0.014	0.0048	0	0.0092	0.0014	0.0006	0	0	0.0175
E6	0.0178	0.0105	0.0026	0.0097	0.0193	0.3944	0.0115	0	0	0	0	0	0.0001	0.0324	0	0.0027	0.001	0.1395	0.0176	0.3382	0.0021	0	0	0	0	0.0007
E7	0	0.001	0.0066	0.0073	0.0036	0.0093	0.7762	0.0953	0.069	0.0045	0.0004	0.0005	0.0008	0.004	0.0083	0.004	0.0021	0.0048	0	0.0022	0	0	0	0	0	0
E8	0	0	0	0	0	0	0.0644	0.7412	0.0763	0.1094	0.0022	0.0009	0.0007	0.0004	0.0003	0	0.0037	0.0006	0	0	0	0	0	0	0	0
E9	0	0.0003	0.0108	0.0042	0.0004	0.0022	0.2085	0.2786	0.3399	0.1234	0.0031	0.0099	0.0057	0.0014	0.0078	0.0008	0.0029	0	0	0.0001	0	0	0	0	0	0
E10	0	0	0.0002	0	0	0	0.0045	0.1913	0.0739	0.6551	0.0166	0.039	0.0082	0	0.0009	0	0.0104	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0.0122	0.7208	0.1925	0.0533	0	0.0097	0.0035	0.0079	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0.0002	0.0036	0.0752	0.2982	0.5958	0.0237	0	0.0033	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0.0015	0.0021	0.0022	0.0261	0.1245	0.0256	0.6792	0.007	0.0076	0.0038	0.1201	0	0	0.0001	0	0	0	0	0	0
E14	0.0054	0.0066	0.0049	0.012	0.0201	0.0562	0.0203	0.0015	0.0006	0	0.0002	0	0.0182	0.45	0.0106	0.1096	0.0415	0.1977	0.0174	0.0241	0.0023	0	0	0	0	0.001
E15	0.0001	0.0008	0.009	0.0746	0.0153	0.0001	0.0121	0.0004	0.0032	0.0007	0.0066	0.008	0.0128	0.0194	0.6339	0.192	0.0018	0	0	0	0.0003	0.0001	0.001	0.0008	0.0001	0.0069
E16	0.0006	0.0039	0.006	0.0354	0.1633	0.0031	0.0125	0.0003	0.0006	0.0002	0.0051	0.0015	0.0037	0.0724	0.1908	0.4854	0.0017	0.0046	0.001	0	0.0023	0.0001	0.0002	0	0	0.0052
E17	0.0002	0.0006	0.0003	0	0.0001	0.0014	0.0095	0.0124	0.0017	0.034	0.0414	0.0011	0.2701	0.0864	0.0022	0.0122	0.4591	0.0639	0.0009	0.0027	0	0	0	0	0	0
E18	0.0058	0	0	0	0.0024	0.0032	0.0036	0.0017	0	0	0	0	0	0.0129	0	0.0013	0.0026	0.9403	0.0065	0.002	0.0178	0	0	0	0	0.0001
E19	0.0209	0.0033	0.0006	0.0007	0.0136	0.0454	0.0029	0	0	0	0	0	0	0.0411	0	0.0078	0.0043	0.6421	0.0713	0.1199	0.0231	0	0	0	0	0.0029
E20	0.0058	0.0019	0.0002	0.0006	0.0029	0.1199	0.0184	0	0	0	0	0	0	0.0035	0	0	0.0005	0.0117	0.0031	0.8316	0	0	0	0	0	0
E21	0.0247	0.0002	0	0.0001	0.0054	0.0004	0	0	0	0	0	0	0	0.0014	0.0002	0.002	0	0.1142	0.0109	0	0.6896	0.0673	0.0001	0	0.0004	0.0831
E22	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0422	0.7136	0.0075	0.1161	0.0901	0.0304
E23	0	0	0.0005	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436	0.6012	0.241	0.0819	0.0313
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167	0.0164	0.9478	0.0162	0.0029
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0.0957	0.0043	0.0267	0.8713	0.0014
E26	0.0794	0.0118	0.0205	0.0112	0.0036	0.0036	0	0	0	0	0	0	0	0.0026	0.0017	0.002	0	0.0356	0.0062	0.0007	0.1372	0.0593	0.0112	0.037	0.0185	0.5578
