EvalSubset	000000001111111111010000011	H2AZ9,H2Bub,H3,H3K14Ac,H3K27me1,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9Ac,H3K9me2,HTR13,HTR5
	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26
E1	0.9308	0.0554	0.0018	0	0.0001	0.0001	0.0001	0	0	0	0	0	0	0.0003	0	0.0002	0.0001	0.0014	0.001	0.0017	0.0021	0	0	0	0	0.0048
E2	0.122	0.8478	0.0222	0.0001	0.0028	0.0017	0.0004	0	0	0	0	0	0	0	0	0.0002	0.0001	0	0.0005	0.0002	0.0001	0	0.0001	0	0	0.0018
E3	0.0005	0.0142	0.9758	0.0059	0.0001	0.0007	0.0005	0	0.0002	0	0	0	0	0.0001	0.0001	0	0	0	0	0	0	0	0	0	0	0.0019
E4	0	0.0014	0.0381	0.8667	0.0378	0.0149	0.0094	0	0.0017	0	0	0	0	0.0071	0.019	0.0015	0	0	0	0	0	0	0.0001	0	0	0.0024
E5	0.0009	0.0196	0.0022	0.0502	0.7769	0.0313	0.0155	0	0.0001	0.0001	0	0	0	0.0018	0.0035	0.0744	0.0003	0.0079	0.0048	0.0045	0.0038	0.0002	0.0003	0	0	0.0018
E6	0.0002	0.0079	0.002	0.028	0.0408	0.8346	0.008	0	0	0	0	0	0	0.0217	0.0003	0.0022	0.0005	0.0213	0.0058	0.0213	0.0012	0	0	0	0	0.0042
E7	0	0.0013	0.0014	0.0156	0.0198	0.0087	0.7778	0.0743	0.0952	0.0005	0	0	0.0001	0.0012	0.0016	0.0011	0.0004	0.0005	0	0.0006	0	0	0	0	0	0
E8	0	0.0001	0	0	0	0	0.0494	0.8009	0.0511	0.0925	0.0013	0	0	0	0.0001	0.0008	0.0033	0.0003	0	0.0002	0	0	0	0	0	0
E9	0	0.0017	0.0076	0.0086	0.0009	0.0027	0.1794	0.2815	0.4796	0.0192	0.0002	0.002	0.0013	0.0025	0.0091	0.0016	0.0017	0	0	0.0002	0	0	0	0	0	0
E10	0	0	0	0	0	0	0.0004	0.0731	0.0211	0.8118	0.0337	0.0366	0.0088	0	0.0011	0.0009	0.0125	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0.0182	0.9028	0.0422	0.0074	0	0.001	0.0096	0.019	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0.0008	0.0252	0.0255	0.9254	0.02	0	0.0032	0	0	0	0	0	0	0	0	0	0	0
E13	0	0	0	0	0	0	0	0	0.0003	0.0113	0.0074	0.0355	0.8712	0.0099	0.0056	0.0004	0.0584	0	0	0	0	0	0	0	0	0
E14	0.0019	0.0025	0.0041	0.0213	0.001	0.044	0.0076	0.0003	0.0011	0	0	0.0001	0.0201	0.7684	0.031	0.0192	0.0147	0.0364	0.0032	0.0039	0.0004	0	0	0	0	0.0188
E15	0.0001	0.0016	0.0063	0.0463	0.0044	0.0001	0.0055	0	0.0044	0.0006	0.0058	0.0126	0.0185	0.049	0.7168	0.1193	0.0013	0	0	0	0	0	0.0002	0.0006	0	0.0067
E16	0.0018	0.0097	0.0005	0.0056	0.0789	0.0019	0.0049	0.0006	0.0006	0.0011	0.0094	0.0002	0.0007	0.0243	0.0735	0.7536	0.0087	0.008	0.007	0.0033	0.003	0	0.0002	0	0	0.0024
E17	0.0001	0.0001	0	0	0.0001	0.0004	0.0004	0.0073	0.0004	0.037	0.0646	0.0008	0.112	0.0278	0.0012	0.0195	0.6619	0.0612	0.0039	0.0015	0	0	0	0	0	0
E18	0.0067	0	0	0	0.0009	0.0044	0.0013	0.003	0	0	0	0	0	0.0174	0	0.0029	0.0037	0.8716	0.0066	0.0351	0.0456	0	0	0	0	0.0008
E19	0.0238	0.0017	0	0	0.0061	0.015	0.0005	0.0002	0	0	0	0	0	0.0074	0	0.0216	0.0091	0.7205	0.0833	0.0616	0.0468	0.0001	0	0	0	0.0024
E20	0.0156	0.001	0	0	0.0036	0.0173	0.0028	0.0014	0	0	0	0	0	0.0131	0	0.017	0.0029	0.7544	0.0187	0.1427	0.0087	0	0	0	0	0.0009
E21	0.0446	0.0007	0	0	0.0029	0.0002	0	0	0	0	0	0	0	0.0047	0.0001	0.0143	0.0001	0.1282	0.0106	0.0026	0.6922	0.0803	0.0006	0	0.0026	0.0154
E22	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0.0706	0.8263	0.0163	0.0463	0.0313	0.0072
E23	0	0.001	0	0	0.0005	0	0	0	0	0	0	0	0	0	0.0003	0.0005	0	0	0	0	0.0016	0.0686	0.5569	0.1998	0.1388	0.0321
E24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0.0228	0.9092	0.0131	0.0099
E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006	0.0271	0.0009	0.0121	0.9484	0.0109
E26	0.0332	0.0204	0.0243	0.0041	0.0041	0.0038	0	0	0	0	0	0	0.0001	0.0303	0.0091	0.0062	0	0.0024	0.0002	0.0003	0.0423	0.0046	0.005	0.0232	0.0283	0.7584
