state (Emission order)	HTB2	HTB1	HTB4	HTB3	H1	H3K27me1	H3K9me2	H2AW6	H3K9me1	H2AW7	H4K20me1	H3	HTR13	HTR5	H2A13	H2A2	H2AX	H2Bub	H3K36me3	H3K4me3	H3K14Ac	H3K9Ac	H2AK121ub	H2AZ11	H2AZ9	H3K27me3	H3K4me1
1	0.13244783513823047	0.15809731207817834	0.06591991914641561	0.027980555828735154	0.0029746977395051248	0.009087208591206609	3.78508826245996E-4	0.001076471066965581	0.0015810309035357696	0.02182217759587013	3.9145919046567565E-4	0.09587207427603875	0.02797014841736524	0.024201401141524467	6.70423898132265E-4	4.1851390889604216E-4	0.012037659747324214	7.48061948767195E-4	1.5647198874788618E-4	0.118739808885119	0.03677255509566563	0.7098930411126794	0.3948936774547312	0.16294414450731737	0.0014864005551591165	0.9618743066670813	0.06880765736155496
2	0.06429981498077683	0.1488313687542403	0.09686810061376204	0.06701507631362959	0.0308703974619453	0.030941210838480167	0.0012002748088745117	0.0013174399398700708	0.0038067764054943863	0.0012963623642086362	0.0035966655361448106	0.31795457967082474	0.10111437018627926	0.0716550751403145	0.011286454742287838	0.00392002815507433	0.031097560597956857	0.0016081603566188817	0.006708256496862294	0.45766464604363544	0.14045494305021108	0.7261058135422066	0.7513415081342846	0.9348170958093867	0.7098633618709465	0.9965801526048813	0.3804822218021825
3	0.0012604536797779203	0.008261539956301111	0.02549460458497206	0.03607637616890756	0.07140097790482106	0.025092758095692006	8.146163276955082E-4	0.0019200774340748872	0.010258739913335375	0.013629762620251475	0.09718058563103232	0.7402307056879228	0.9655045016374835	0.7527540006876369	0.16332748992697463	0.08884362912686282	0.051398201826961566	0.004665517319470157	0.05029074954410472	0.7574778048802827	0.3594099685631059	0.531742840928569	0.8849117319345577	0.973917546132896	0.9842466400268922	0.9989677594188975	0.6506908121558257
4	7.174085775944766E-4	0.0031906684324078194	0.02494000269369449	0.0396868889577779	0.12496345087860013	0.30691243418386577	0.004921324517960507	0.005402219895420585	0.1557377682341749	0.014919463563108666	0.5859761204472629	0.5753266970105171	0.905915311620026	0.6903584198134708	0.24512885034738796	0.16458081369137534	0.06564939646873844	0.009502763796919264	0.1255542419894756	0.7099445654715978	0.4598688215705264	0.49532439225187475	0.5685561888001126	0.9438154487590791	0.9797046984468566	0.09890785829463886	0.9822648594979885
5	0.022591882212633665	0.08050514022573048	0.07992062889363138	0.057983392074201175	0.09096435813934037	0.3079264093114222	0.011502297610963693	0.005651861853036336	0.07451557930740972	0.0012133771034879256	0.10348430853608638	0.17946139347593382	0.10598602522388864	0.03273963752884804	0.022784239432893143	0.006964838239298304	0.01846737956138491	0.0047612283701520056	0.11827847759039443	0.5296838363090837	0.23176189343149872	0.6298914754091696	0.3231481208713155	0.9559242359597689	0.7924036989677732	0.05233384069114184	0.9161748508676139
6	0.028782146895352016	0.08472993727339538	0.05605087339420832	0.053661435704794216	0.003185618943957446	0.049439832796598165	8.280187370007019E-4	8.53910770579097E-5	3.536818545524768E-4	0.002088766275307435	0.002446084127201251	0.10632367640431024	0.1260441682204483	0.43176380672512005	0.01930081024364677	0.008849839591525136	0.015756812420297816	0.002613325080515458	0.0023948850892454502	0.1645063223279249	0.23731861029368778	0.6453210320059974	0.797723414167255	0.888810666892155	0.8950013741505106	0.06442355101741203	0.17929600366670778
7	0.0034249386079249675	0.034473317919986715	0.037285389431378296	0.0688730693580578	0.0010028892708616717	0.018041815553452824	2.425159639276339E-4	0.0	5.124709900272335E-66	1.2872516665073482E-4	0.012595918090017129	0.20804896853795432	0.17157489741618157	0.3205108927534354	0.035054442665852344	0.015549057438497401	0.007682669368013038	0.13058024483682826	0.7528947235396398	0.9829326051186023	0.8886731864409204	0.9274924105332644	0.8600871517887021	0.9409806244046333	0.9875331302932733	0.04764884186397921	0.21292565480858433
8	0.043662984899716886	0.1638090457013977	0.11203065249346568	0.12989381435569014	1.6258390643903635E-4	0.00103782013320072	4.8147946863264415E-5	0.0	3.1875551705489815E-236	0.0	8.550305729924529E-5	0.1178691899037918	0.008038906216636818	0.016287972679715917	0.045599610209544346	0.029806146811319875	0.019522567803428672	0.7729184436497675	0.9648239815279567	0.9897109267091302	0.9187019587965801	0.9914481724523447	0.491162240812934	0.6888678086989114	0.7771657914347835	0.0029941580898364996	0.07670668560731912
9	0.002066012522030377	0.02335001140574902	0.037960092234289054	0.08846441875017287	0.0016497615353771532	0.005698783007710003	2.3716860541822142E-4	0.0	4.0336696896830186E-14	2.8184002871804173E-67	0.03347353495349503	0.49157398258641544	0.2707576232657908	0.4931652490254568	0.9039897961741385	0.8373360292423374	0.2620909328218007	0.7675761427023317	0.9519272576032339	0.9853061647832875	0.9308235153741115	0.963932510823338	0.8404246697955284	0.5813644342806734	0.9516959408174409	0.06436686019393091	0.3130968924627185
10	0.038106550986228865	0.1286979442671716	0.09577261622472955	0.12712086015887636	3.198685609089767E-4	0.0019405028306613526	2.5220453755879545E-4	0.0	4.974668602783567E-5	0.0	0.00632732662658978	0.20954381337963743	0.0680733446615314	0.32628786765547574	0.893805896145932	0.8963648403660134	0.5457231030846278	0.9933675943893268	0.9966084133906584	0.9239280340377415	0.717079726566263	0.9803746312087346	0.2989411687270317	0.004183665900702052	0.058569109829511426	0.006739411942444234	0.5657372461535726
11	0.059058500011897296	0.11426333167571824	0.0894843216139864	0.066725123496951	0.009522407845992231	0.01648051996929552	1.5218053051537238E-4	0.0	0.0029272571216624617	0.0	0.014665615620523223	0.07984018378122044	0.02749639539101607	0.10087492064158897	0.8028201103733849	0.8360142376433274	0.4421681747045223	0.9796899706350406	0.9827515533923682	0.6601383818480513	0.018849019800794085	0.48237962222656394	0.0036111671938902235	1.3790794881203073E-4	4.41839000550856E-9	5.901688063341226E-4	0.9588416709189661
12	0.0034312156403681917	0.007482409641479	0.027164668827740532	0.043180660269026935	0.014065431491482596	0.009025678371422107	3.089857524591592E-4	0.0	0.007386008250372959	2.8537099038368765E-5	0.22219896224759664	0.3669372642799916	0.6588983376785833	0.9384889876687558	0.9954984122321111	0.9987149524033412	0.8007679031130616	0.9970752815528381	0.9948855051040925	0.8341394558563516	0.20211057368952434	0.40905978208919763	0.02921494491297156	4.721706408151685E-108	0.0015036449241651387	9.51058818332309E-4	0.9940320520025823
13	0.004411784140271305	0.011698243854749529	0.02613640604181905	0.032857663395781556	0.022169317222649716	0.007772401039428162	1.8007189285595724E-4	0.0	0.001078468402431526	1.2426938249314585E-121	0.07297667595567646	0.09027818574459892	0.16748203800297767	0.9476600978714237	0.9612492310954016	0.9803771644961148	0.5603229533245222	0.9684896391753129	0.4170676443266055	0.2535643492014812	0.22541712678865847	0.5724082227255596	0.0393433656895455	2.2996545226410567E-5	0.0011665846624583365	0.0012822587896821455	0.8330882776146877
14	0.003133825727986068	0.008979312825484986	0.024409227143449442	0.031101086389973547	0.028482082532504074	0.02103258113415129	3.657778297464896E-4	1.4141022698590388E-4	0.001614886687826363	0.0022802186413974695	0.03611733308184617	0.08867324220819751	0.27361244638217586	0.9511102895014092	0.6607076373376101	0.6996054841872933	0.31603665060770125	0.08064253289786408	0.037415617558941114	0.12546533133177637	0.30970886245960577	0.647610573756903	0.19969112632099145	0.03411672490322002	0.14724644961904773	0.02451697137639613	0.5544378551413549
15	0.0022362921028048818	0.0068282427894786535	0.02411771276347402	0.02733383860610193	0.11078932239177179	0.13365618730190876	0.0038125894843096587	5.707413804544951E-4	0.11264058023605678	0.0033415369829806344	0.5072063419265473	0.28076991325770845	0.7359964742720397	0.7444339362403808	0.9144186642648724	0.9171085035513171	0.552356991976977	0.10165920616335081	0.5382780390002148	0.6480566168384747	0.2839845241019649	0.41401255543942367	0.049367617453925525	0.01591085073566004	0.08794081133285049	0.02007336800767598	0.997516466833998
16	0.028423233291603123	0.07557537736254272	0.06358906543597333	0.03498276855844397	0.07602020831562233	0.17401403320872305	0.0010115868685037443	6.201043147955176E-50	0.05792813237485094	0.0014112393742123247	0.10403292589025255	0.05912641488052812	0.09644648389235189	0.09824611504038991	0.18139488731797132	0.1728328756253985	0.12689208036423208	0.024692678231502427	0.26145199674329395	0.40458309551839977	0.1303438736995658	0.5619136720604467	0.04177529579293476	0.04332818050608078	0.038252332464876845	0.021666393731413398	0.9507512915948595
17	0.0629366471394275	0.136606109245205	0.06963771995001403	0.050994328792688275	0.00712096836858541	0.007083792442297721	1.7536181212581903E-4	0.0	1.6671405311178805E-39	0.0	2.911580580005875E-4	0.0024545929321264127	7.587867627371052E-53	0.20385816916343327	0.23583945682857474	0.28870959713333916	0.13604841649382174	0.7216973808307354	0.22910609104535565	0.16190980693843357	0.09961612489199778	0.8072737078270305	0.0595283289205672	0.0018713037891130405	0.005113342069966433	0.005278218479493722	0.4042557461902621
18	0.029330503092695578	0.02137061983915778	0.009845289354897323	0.0017360170186832863	5.730680861539302E-4	0.003145012744972654	2.4181530835632795E-4	2.0520739492743933E-5	2.8452149796832326E-36	0.0049848879156910615	4.6588060389327507E-4	0.001953499154963575	0.005386408604887788	0.05928483246422979	7.466776763679424E-5	3.6579735376156586E-62	0.0012918347015096346	1.301988260132726E-4	0.0014300148145743154	0.025143605924846924	0.03218385797004784	0.4775375458023881	0.004986825633851112	0.02459097468764705	0.003474039146827133	0.003899060465147706	0.010427501140041215
19	0.5060081117920141	0.7167880725482764	0.29516398297764135	0.1818663512044191	0.0017952975194676908	0.04586211071524072	8.291676713187296E-4	3.250663204657789E-4	0.004284370578807707	0.00464893505720052	3.973741899765043E-4	0.08239083896851353	0.001395606597725193	0.01692404846668098	7.856269969917408E-4	0.0022759812888997802	0.023185328836949886	9.383126855261099E-4	1.0220785048198283E-4	0.03102462096818764	0.037474249612791895	0.7941593705116747	0.1854299019850657	0.10343496658268862	0.015823281909638148	0.0570994104908433	0.06319080415284893
20	0.05697716649579398	0.09786030590482514	0.0362060205494891	0.013683259824898448	1.659578456238071E-4	0.00840142412485184	9.853655357589287E-28	1.0633424165504312E-45	5.941027905672686E-5	3.459298576831248E-4	1.8892234950909496E-4	0.017754014681791705	8.731981382900668E-4	0.09623649933607135	0.0015553791095693846	0.0011431745160425523	0.008838101653558436	0.00197674774019724	4.7119899710890194E-4	0.06204794846140483	0.042836597530589146	0.6225447619645941	0.9253474898333102	0.1933861879002744	0.027090496467025996	0.039276043346981336	0.0506801640541391
21	0.1374224436319629	0.1147187212311075	0.053346550714529456	0.0151821060885602	0.0035484267446801755	0.12153204035169518	0.09125759849149714	0.07968101999004863	0.4961018857795371	0.4428022491656589	0.02480646869366305	0.12718401708157265	0.060732798251135985	0.04272821888634207	5.36975680509251E-5	2.9462139835442037E-5	4.968870676606515E-4	5.303534314942882E-4	4.013087521836304E-5	0.014479712572526749	0.0037518109235615583	0.1722243654457938	0.0014212869030848785	0.006521714157993434	2.708252965995807E-4	0.08354313658565266	0.09689990593502226
22	0.14778669794118718	0.18128311553817877	0.08997251025714306	0.02308845656478601	0.07415247050919553	0.6126573604083083	0.8582054399878098	0.8588950557178325	0.99811580781112	0.8668461177678163	0.32312898396780765	0.27193567842342714	0.1252002873890026	9.7750535619505E-5	8.349570623502703E-101	0.0	7.220952435811342E-4	9.89497213336485E-5	4.022234007645396E-5	0.016369069377187802	3.490165851039033E-4	0.052264503944714095	4.7814161113558455E-5	6.43291988628468E-4	2.3427448418635924E-158	0.008530694661471692	0.30958411637550426
23	0.5887665883191266	0.7331263519109138	0.5347685930038742	0.38271256314342406	0.5388843657442707	0.9726948446867131	0.9760329505416899	0.9906259454475062	1.0	0.9923009786533079	0.8866174457012539	0.9764907767075155	0.49066246869136027	0.1511865903024729	0.031138681819401947	0.03975635999255767	0.17188247097849363	7.632108030251534E-4	0.18779975588089612	0.42949875959956085	0.0288148665776221	0.11445511242568403	0.02105269768593559	0.008016028319827213	0.0013179593396024693	0.0814982563058487	0.7943638189385505
24	0.011793089394618378	0.023115666157191638	0.04022342753022913	0.009668385932132149	0.2116121474067601	0.6578301015693344	0.9939861132831371	0.9916160312286962	1.0	0.9994103256118864	0.9979937349265098	0.8713220118836525	0.9022813250669169	0.12008757100797599	2.4091231212206477E-4	0.001297937852223828	0.015257067887966347	1.0284216090942434E-4	9.053137482580085E-4	0.08376803954854335	4.218319635057351E-4	0.008493532632186713	4.7866812288042336E-6	0.0	9.28383071993609E-13	0.003360677734120369	0.9249837267660368
25	0.01221100978790277	0.02055180082201793	0.027239723243899498	0.013293107477614726	0.11419480751665717	0.3466945110703642	0.9945294861891237	0.9877581945578049	0.9992737411583391	0.9997057296302394	0.8794434741806654	0.7735748574022986	0.9888060015425821	0.1406848446179433	1.0071751471181521E-4	7.150426163409474E-4	0.0032206078983957904	0.0	4.05976246602108E-208	0.0	1.9602493006641938E-4	0.006737741489715795	0.0	0.0	1.815875873140084E-259	5.620712230119705E-4	0.10456228671579648
26	0.030788475809610673	0.052042315422631	0.040031177228032164	0.02194642744334861	0.04758261045151984	0.21457691842448984	0.2595918265817141	0.3897542041560751	0.7649981207001655	0.9668520545344754	0.41965282404754944	0.6779517125918354	0.8807627478287182	0.6602200668302171	0.008028193264133643	0.011060068686595793	0.029157754005151706	6.14693684899137E-4	0.0027381397214658013	0.1403706421242932	0.04360671364598906	0.12524452743835188	0.027728315592784224	0.022217636131084125	0.027532792384081604	0.439934758705582	0.4298951559533134
