state (Emission order)	H2AW6	H2AW7	H3K9me1	H3K9me2	H3	H1	H2AX	H3K36me3	H2AZ	H2AZ11	H3K27me3
1	0.9987270140041966	0.9847237743585312	1.0	0.978173477971037	0.5795590347703711	0.9237426943503388	0.01869877725614125	0.0011041302612214876	5.8158E-319	3.4961415685209344E-5	0.005655234331421754
2	0.9879010193391488	0.9710537073019735	0.9986661696329526	0.9876610669775087	0.7812366246829556	0.2531877891442927	0.034515561476481306	0.004664898077733139	0.002688907825757098	0.0026812757556157066	0.08196012001782305
3	0.943749334294084	0.8190695828379708	0.9337548709304282	0.9269745462277768	0.01844827346535364	0.09470633901643827	0.004745549590696054	4.058674475506731E-301	3.822373564537629E-115	9.161657174178973E-5	6.620566358524974E-6
4	0.17513392083113039	0.574626365556591	0.31319861599206106	0.10535602590796735	0.06713183012464123	0.026961783358267946	0.010201608100014425	9.268758751321331E-4	0.005315211449297332	0.008828631024327682	0.038478299073100554
5	0.9622293673012785	0.8113576366918615	0.40475803372733227	0.06321950714046971	0.16123338580041804	0.20855176094328207	0.015193860222108026	2.3823071285865516E-4	0.00679211185854622	0.013457199669339046	0.14515605575805252
6	0.03971686940070195	0.046246627636019826	0.001187066515469504	1.6948367803534597E-4	0.028703368374208425	0.047315135706854666	0.015316736700792893	0.0023381570998462073	0.04128513803162616	0.22847416069921186	0.9022476201030555
7	0.009735031289100247	0.011849600595810476	0.007676073704582585	2.511475501413126E-4	0.41975925393187435	0.2807202867654069	0.041686176886828734	0.009726740577952924	0.8612572476294187	0.9799462100512705	0.9976032188715344
8	5.011246466560135E-4	6.130248405039917E-4	0.004043971024685077	7.954812876677866E-5	0.1521199269634414	0.038529181679777716	0.010942191568872408	0.009072215754993413	0.642656707442351	0.9843461886094327	0.02107534565227978
9	0.002738446404613681	0.001939085079354159	2.1935901318205397E-4	7.455779058068689E-5	0.10221349976048208	0.01390753283771237	0.061983619020874486	6.717181981209923E-27	0.817435962315437	0.41877004094265563	0.0054869027673002495
10	0.051409039831621484	0.04105383484811857	0.14150038129824147	0.01614012469436997	0.2664939389320618	0.8531690722518478	0.02582810181597615	0.025366264702417374	0.7763411120377715	0.8978640575302616	0.11337347390818871
11	0.0012692153741375297	0.0022797592724874277	1.0206236111866476E-40	5.79097328743347E-45	0.0016319897374343893	0.0020495774876692595	8.092932674032288E-5	1.853326344802072E-11	3.144987671374871E-4	0.030991428958780706	6.960640989472955E-4
12	0.0	5.4710728024331666E-5	3.866428205602964E-4	3.149529680493041E-5	0.1394490625688809	0.007023603403451698	0.03431213562555402	0.9890199585636845	0.8776560258966565	0.7831432743466235	0.0068617048756435305
13	7.630277864979411E-6	2.6234399731615646E-5	0.001327301017655606	6.760416704614245E-5	0.0665863150621798	0.02169108576622461	0.2522153435163887	0.9866841703078546	0.0028586328306815707	2.8436637641205976E-9	5.271680768846075E-4
14	7.292045103946664E-4	0.003842760357909977	0.0620659037694951	0.0010160068105631134	0.07213384418409188	0.8090066457751891	0.2308713272906311	0.2809339717799033	0.018808752886621198	0.004543532967992985	0.0032806958213470933
15	1.4830417408954438E-4	6.523306086805066E-5	8.279145412157499E-4	6.840837160954763E-6	0.09023033717459879	0.03637380929559386	0.18415259460648	0.018855935719316094	7.586851600036526E-4	1.526960559584653E-4	2.5125071556259416E-4
